metodo,n,trovata_soluzione,tempo_sec,nodi_espansi,nodi_generati,max_frontiera
A*_h0_g_alto,8,True,0.017032200004905462,1965,2057,573
A*_h0_g_basso,8,True,0.01644290005788207,1965,2057,573
A*_h_rem_g_alto,8,True,0.0011180001311004162,113,125,19
A*_h_rem_g_basso,8,True,0.01302259974181652,1965,2057,573
CSP_Z3,8,True,0.031089100055396557,,,
A*_h0_g_alto,10,True,0.29865540005266666,34815,35539,9643
A*_h0_g_basso,10,True,0.3087690998800099,34815,35539,9643
A*_h_rem_g_alto,10,True,0.0008274000138044357,102,125,30
A*_h_rem_g_basso,10,True,0.2920435997657478,34815,35539,9643
CSP_Z3,10,True,0.08071670029312372,,,
A*_h_rem_g_alto,12,True,0.002339900005608797,261,296,43
CSP_Z3,12,True,0.24435999989509583,,,
A*_h_rem_g_alto,14,True,0.019356800243258476,1899,1945,59
CSP_Z3,14,True,0.382351600099355,,,
